state,county_name,STATEFIP,COUNTYICP,COUNTYFIP
Alabama,Baldwin,01,0030,003
Alabama,Calhoun/Benton,01,0150,015
Alabama,Dallas,01,0470,047
Alabama,Etowah,01,0550,055
Alabama,Jefferson,01,0730,073
Alabama,Lee,01,0810,081
Alabama,Madison,01,0890,089
Alabama,Mobile,01,0970,097
Alabama,Montgomery,01,1010,101
Alabama,Shelby,01,1170,117
Alabama,Talladega,01,1210,121
Alabama,Tuscaloosa,01,1250,125
Alabama,Walker,01,1270,127
Alaska,Anchorage,02,0200,020
Arizona,Coconino,04,0050,005
Arizona,Maricopa,04,0130,013
Arizona,Pima,04,0190,019
Arizona,Yavapai,04,0250,025
Arizona,Yuma,04,0270,027
Arkansas,Benton,05,0070,007
Arkansas,Pulaski,05,1190,119
Arkansas,Saline,05,1250,125
Arkansas,Washington,05,1430,143
California,Alameda,06,0010,001
California,Butte,06,0070,007
California,Contra Costa,06,0130,013
California,El Dorado,06,0170,017
California,Fresno,06,0190,019
California,Humboldt,06,0230,023
California,Imperial,06,0250,025
California,Kern,06,0290,029
California,Kings,06,0310,031
California,Los Angeles,06,0370,037
California,Madera,06,0390,039
California,Marin,06,0410,041
California,Merced,06,0470,047
California,Monterey,06,0530,053
California,Napa,06,0550,055
California,Orange,06,0590,059
California,Placer,06,0610,061
California,Riverside,06,0650,065
California,Sacramento,06,0670,067
California,San Bernardino,06,0710,071
California,San Diego,06,0730,073
California,San Francisco,06,0750,075
California,San Joaquin,06,0770,077
California,San Luis Obispo,06,0790,079
California,San Mateo,06,0810,081
California,Santa Barbara,06,0830,083
California,Santa Clara,06,0850,085
California,Santa Cruz,06,0870,087
California,Shasta,06,0890,089
California,Solano,06,0950,095
California,Sonoma,06,0970,097
California,Stanislaus,06,0990,099
California,Tulare,06,1070,107
California,Ventura,06,1110,111
California,Yolo,06,1130,113
Colorado,Adams,08,0010,001
Colorado,Arapahoe,08,0050,005
Colorado,Boulder,08,0130,013
Colorado,Denver,08,0310,031
Colorado,El Paso,08,0410,041
Colorado,Jefferson,08,0590,059
Colorado,Larimer,08,0690,069
Colorado,Pueblo,08,1010,101
Colorado,Weld,08,1230,123
Connecticut,Fairfield,09,0010,001
Connecticut,Hartford,09,0030,003
Connecticut,Litchfield,09,0050,005
Connecticut,Middlesex,09,0070,007
Connecticut,New Haven,09,0090,009
Connecticut,New London,09,0110,011
Connecticut,Tolland,09,0130,013
Connecticut,Windham,09,0150,015
Delaware,Kent,10,0010,001
Delaware,New Castle,10,0030,003
Delaware,Sussex,10,0050,005
District of Columbia,District of Columbia,11,0010,001
Florida,Alachua,12,0010,001
Florida,Bay,12,0050,005
Florida,Brevard/St Lucie,12,0090,009
Florida,Broward,12,0110,011
Florida,Charlotte,12,0150,015
Florida,Citrus,12,0170,017
Florida,Clay,12,0190,019
Florida,Collier,12,0210,021
Florida,Duval,12,0310,031
Florida,Escambia,12,0330,033
Florida,Hernando/Benton,12,0530,053
Florida,Hillsborough,12,0570,057
Florida,Indian River,12,0610,061
Florida,Lake,12,0690,069
Florida,Lee,12,0710,071
Florida,Leon,12,0730,073
Florida,Manatee,12,0810,081
Florida,Marion,12,0830,083
Florida,Martin,12,0850,085
Florida,Dade/Miami-Dade,12,0250,086
Florida,Okaloosa,12,0910,091
Florida,Orange/Mesquito,12,0950,095
Florida,Osceola,12,0970,097
Florida,Palm Beach,12,0990,099
Florida,Pasco,12,1010,101
Florida,Pinellas,12,1030,103
Florida,Polk,12,1050,105
Florida,St Johns,12,1090,109
Florida,St Lucie,12,1110,111
Florida,Santa Rosa,12,1130,113
Florida,Sarasota,12,1150,115
Florida,Seminole,12,1170,117
Florida,Volusia,12,1270,127
Georgia,Bartow/Cass,13,0150,015
Georgia,Bibb,13,0210,021
Georgia,Carroll,13,0450,045
Georgia,Chatham,13,0510,051
Georgia,Cherokee,13,0570,057
Georgia,Clarke,13,0590,059
Georgia,Clayton,13,0630,063
Georgia,Cobb,13,0670,067
Georgia,Columbia,13,0730,073
Georgia,Coweta,13,0770,077
Georgia,De Kalb,13,0890,089
Georgia,Douglas,13,0970,097
Georgia,Fayette,13,1130,113
Georgia,Forsyth,13,1170,117
Georgia,Fulton,13,1210,121
Georgia,Gwinnett,13,1350,135
Georgia,Hall,13,1390,139
Georgia,Henry,13,1510,151
Georgia,Lowndes,13,1850,185
Georgia,Muscogee,13,2150,215
Georgia,Paulding,13,2230,223
Georgia,Richmond,13,2450,245
Georgia,Whitfield,13,3130,313
Hawaii,Hawaii,15,0010,001
Hawaii,Honolulu,15,0030,003
Idaho,Ada,16,0010,001
Idaho,Bonneville,16,0190,019
Idaho,Canyon,16,0270,027
Illinois,Adams,17,0010,001
Illinois,Champaign,17,0190,019
Illinois,Cook,17,0310,031
Illinois,De Kalb,17,0370,037
Illinois,Du Page,17,0430,043
Illinois,Kane,17,0890,089
Illinois,Kankakee,17,0910,091
Illinois,Knox,17,0950,095
Illinois,Lake,17,0970,097
Illinois,LaSalle,17,0990,099
Illinois,McHenry,17,1110,111
Illinois,McLean,17,1130,113
Illinois,Macon,17,1150,115
Illinois,Madison,17,1190,119
Illinois,Peoria,17,1430,143
Illinois,Rock Island,17,1610,161
Illinois,St Clair,17,1630,163
Illinois,Sangamon,17,1670,167
Illinois,Tazewell,17,1790,179
Illinois,Vermilion,17,1830,183
Illinois,Will,17,1970,197
Illinois,Winnebago,17,2010,201
Indiana,Allen,18,0030,003
Indiana,Clark,18,0190,019
Indiana,Delaware,18,0350,035
Indiana,Elkhart,18,0390,039
Indiana,Hendricks,18,0630,063
Indiana,Johnson,18,0810,081
Indiana,Lake,18,0890,089
Indiana,La Porte,18,0910,091
Indiana,Madison,18,0950,095
Indiana,Marion,18,0970,097
Indiana,Monroe,18,1050,105
Indiana,Porter,18,1270,127
Indiana,St Joseph,18,1410,141
Indiana,Tippecanoe,18,1570,157
Indiana,Vanderburgh,18,1630,163
Indiana,Vigo,18,1670,167
Indiana,Wayne,18,1770,177
Iowa,Black Hawk,19,0130,013
Iowa,Johnson,19,1030,103
Iowa,Linn,19,1130,113
Iowa,Polk,19,1530,153
Iowa,Scott,19,1630,163
Iowa,Woodbury,19,1930,193
Kansas,Douglas,20,0450,045
Kansas,Johnson,20,0910,091
Kansas,Saline,20,1690,169
Kansas,Sedgwick,20,1730,173
Kansas,Shawnee,20,1770,177
Kansas,Wyandotte,20,2090,209
Kentucky,Boone,21,0150,015
Kentucky,Boyd,21,0190,019
Kentucky,Fayette,21,0670,067
Kentucky,Jefferson,21,1110,111
Kentucky,Kenton,21,1170,117
Kentucky,McCracken,21,1450,145
